movieInfo,title,star,quote
"
导演:彼得·威尔PeterWeir   主演:罗宾·威廉姆斯RobinWilliams/罗伯...
1989 / 美国 / 剧情


",死亡诗社 / Dead Poets Society / 暴雨骄阳(港)  /  春风化雨(台),8.9,当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。
"
导演:梅尔·吉布森MelGibson   主演:梅尔·吉布森MelGibson/苏菲·玛...
1995 / 美国 / 动作传记剧情历史战争


",勇敢的心 / Braveheart / 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),8.8,史诗大片的典范。
"
导演:SergioLeone   主演:罗伯特·德尼罗RobertDeNiro/詹姆斯·伍兹...
1984 / 意大利美国 / 犯罪剧情


",美国往事 / Once Upon a Time in America / 四海兄弟(台)  /  义薄云天(港),9.1,往事如烟，无处祭奠。
"
导演:TimBurton   主演:约翰尼·德普JohnnyDepp/薇诺娜·瑞德Winona...
1990 / 美国 / 剧情奇幻爱情


",剪刀手爱德华 / Edward Scissorhands / 幻海奇缘  /  剪刀手爱德华,8.7,浪漫忧郁的成人童话。
"
导演:罗曼·波兰斯基RomanPolanski   主演:艾德里安·布洛迪AdrienBrod...
2002 / 法国德国英国波兰 / 剧情传记历史战争


",钢琴家 / The Pianist / 战地琴人  /  钢琴战曲,9.0,音乐能化解仇恨。
"
导演:克里斯托弗·诺兰ChristopherNolan   主演:克里斯蒂安·贝尔Christ...
2006 / 美国英国 / 剧情悬疑惊悚


",致命魔术 / The Prestige / 顶尖对决(台)  /  死亡魔法(港),8.8,孪生蝙蝠侠大战克隆金刚狼。
"
导演:RogerAllers/罗伯·明可夫RobMinkoff   主演:乔纳森·泰勒·托马...
1994 / 美国 / 剧情动画冒险歌舞家庭


",狮子王 / The Lion King / 狮子王3D,8.8,动物版《哈姆雷特》。
"
导演:中岛哲也TetsuyaNakashima   主演:中谷美纪MikiNakatani/瑛太E...
2006 / 日本 / 剧情歌舞


",被嫌弃的松子的一生 / 嫌われ松子の一生 / 花样奇缘(港)  /  令人讨厌的松子的一生(台),8.9,以戏谑来戏谑戏谑。
"
导演:RobertWise   主演:朱丽·安德鲁斯JulieAndrews/克里斯托弗·普...
1965 / 美国 / 剧情爱情歌舞家庭传记


",音乐之声 / The Sound of Music / 仙乐飘飘处处闻(港)  /  真善美(台),8.9,用音乐化解仇恨，让歌声串起美好。
"
导演:克里斯托弗·诺兰ChristopherNolan   主演:马修·麦康纳MatthewMc...
2014 / 美国英国加拿大 / 剧情科幻悬疑冒险家庭


",星际穿越 / Interstellar / 星际启示录(港)  /  星际效应(台),9.1,爱是一种力量，让我们超越时空感知它的存在。
